Designator Footprint               Mid-X         Mid-Y         Ref-X         Ref-Y         Pad-X         Pad-Y TB      Rotation Comment        

R59        REZ_MIFON_1206    1512.992mil    845.346mil   1512.992mil    845.346mil   1512.992mil    785.346mil  B        270.00 270R           
R58        REZ_MIFON_1206        1538mil       2460mil       1538mil       2460mil       1538mil       2520mil  B         90.00 270R           
R57        REZ_MIFON_1206        1087mil       2300mil       1087mil       2300mil       1027mil       2300mil  B        180.00 270R           
R34        REZ_MIFON_1206         995mil        320mil        995mil        320mil        995mil        380mil  B         90.00 22k            
R2         REZ_MIFON_1206    1277.992mil        715mil   1277.992mil        715mil   1277.992mil        655mil  B        270.00 100k           
R43        REZ_MIFON_1206        1860mil       2830mil       1860mil       2830mil       1920mil       2830mil  B        360.00 1k             
R42        REZ_MIFON_1206        1910mil       2675mil       1910mil       2675mil       1910mil       2615mil  B        270.00 1k             
R1         REZ_MIFON_1206        1331mil       2602mil       1331mil       2602mil       1331mil       2662mil  B         90.00 10k            
R33        REZ_MIFON_1206     782.992mil   1653.347mil    782.992mil   1653.347mil    842.992mil   1653.347mil  B        360.00 1k             
R32        REZ_MIFON_1206    2177.992mil   1413.347mil   2177.992mil   1413.347mil   2117.992mil   1413.347mil  B        180.00 1k             
R31        REZ_MIFON_1206     782.992mil   1553.347mil    782.992mil   1553.347mil    842.992mil   1553.347mil  B        360.00 1k             
R30        REZ_MIFON_1206    2172.992mil   1263.347mil   2172.992mil   1263.347mil   2172.992mil   1323.347mil  B         90.00 1k             
R29        REZ_MIFON_1206     782.992mil   1453.347mil    782.992mil   1453.347mil    842.992mil   1453.347mil  B        360.00 1k             
R28        REZ_MIFON_1206    1982.992mil   1098.347mil   1982.992mil   1098.347mil   2042.992mil   1098.347mil  B        360.00 1k             
R27        REZ_MIFON_1206     868.332mil   1133.006mil    868.332mil   1133.006mil    868.332mil   1193.006mil  B         90.00 1k             
R26        REZ_MIFON_1206    1820.866mil    848.346mil   1820.866mil    848.346mil   1820.866mil    908.346mil  B         90.00 1k             
R25        REZ_MIFON_1206    2177.992mil   1613.347mil   2177.992mil   1613.347mil   2117.992mil   1613.347mil  B        180.00 1k             
R24        REZ_MIFON_1206    1720.866mil    848.346mil   1720.866mil    848.346mil   1720.866mil    908.346mil  B         90.00 1k             
R23        REZ_MIFON_1206    2177.992mil   1513.347mil   2177.992mil   1513.347mil   2117.992mil   1513.347mil  B        180.00 1k             
