BIOS_1	-203.4540	-142.9878	0		W25Q256JVEIQ	SOIC8_COLAY_LCC8_80X60
PR910	-132.2070	-87.4888	0		0402_10K_1%	R0402
Q28	-209.2050	-149.4788	90		LMBT3904LT1G	SOT23_BCE
Q29	-0.6690	-156.4625	180		LMBT3904LT1G	SOT23_BCE
Q48	-209.2050	-154.2955	90		LMBT3904LT1G	SOT23_BCE
QD12	-27.1780	23.6362	180		TNM01K20F	SOT-523_H0D9
QD13	-29.2100	23.6362	180		TNM01K20F	SOT-523_H0D9
QD21	-81.6610	8.6502	0		TNM01K20F	SOT-523_H0D9
QD22	-62.4840	6.2372	180		TNM01K20F	SOT-523_H0D9
QD23	-60.9854	9.6916	270		TNM01K20F	SOT-523_H0D9
QD24	-58.7756	9.6916	90		TNM01K20F	SOT-523_H0D9
QD25	-56.3880	10.5552	0		TNM01K20F	SOT-523_H0D9
QD26	-60.3250	6.2372	180		TNM01K20F	SOT-523_H0D9
QD27	-56.2610	6.2372	0		TNM01K20F	SOT-523_H0D9
QD28	-58.2930	6.2372	0		TNM01K20F	SOT-523_H0D9
QD29	-25.1460	23.6362	180		TNM01K20F	SOT-523_H0D9
QD30	-45.7200	7.3802	0		TNM01K20F	SOT-523_H0D9
QD5	-49.5300	17.9212	90		2SK3018T	SOT23_GDS
QD6	-45.7200	17.9212	90		2SK3018T	SOT23_GDS
QD60	-21.0820	11.1902	90		TNM01K20F	SOT-523_H0D9
QD7	-52.7050	15.6352	0		TNM01K20F	SOT-523_H0D9
QF2	-99.9744	-145.4770	0		L2N7002LT1G	SOT23_GDS
QP1003	-13.1572	-41.5402	0		TNM01K20F	SOT-523_H0D9
QP111	-10.9982	-41.5402	0		TNM01K20F	SOT-523_H0D9
QP861	-1.0693	-151.7813	270		AO4407C	SO8_50_150
QP960	-76.0730	-146.6708	90		MDU1514URH	SO8_POWERPAK_1_1H
QP961	-87.8078	-145.8631	180		MCG30P03_TP	DFET_SMD_032X033
QP995	-27.3065	-146.7978	270		MDU1514URH	SO8_POWERPAK_1_1H_B
QP996	-35.0520	-146.0374	0		MDU1517RH	SO8_POWERPAK_1_1H_B
QP998	-135.8900	-87.9968	270		TNM01K20F	SOT-523_H0D9
R10461	-14.6812	10.6314	270		0201_0	R0201
R10462	-14.6812	9.5900	90		0201_10K	R0201
R10463	-13.8176	9.8948	90		0402_20K_1%	R0402
R12	-197.4850	-40.4989	225		0201_10K_1%	R0201
R12209	-12.7762	-26.8082	90		0402_130K_1%	R0402
R12211	-110.1090	-17.1308	90		0402_130K_1%	R0402
R12212	-102.9970	-20.0518	0		0402_100K_1%	R0402
R12213	-107.9500	-25.2588	270		0402_61.9K_1%	R0402
R1402	-165.6080	28.8432	0		0402_75_1%	R0402
R1408	-165.6080	29.7322	0		0402_75_1%	R0402
R1409	-168.1480	26.3032	0		0402_75_1%	R0402
R1416	-167.3860	23.2552	0		0402_1K_1%	R0402
R1417	-168.1480	25.4142	0		0402_75_1%	R0402
R1418	-167.3860	22.3662	0		0402_1K_1%	R0402
R1546	-211.7852	21.5026	270		0402_75_1%	R0402
R1547	-210.9470	21.5026	270		0402_75_1%	R0402
R1548	-207.8482	7.2532	270		0402_75_1%	R0402
R1549	-207.0100	7.2532	270		0402_75_1%	R0402
R1940	-174.4980	-118.4768	90		0402_20K_1%	R0402
R1983	-60.8584	11.1648	180		0402_100K_1%	R0402
R1984	-56.1340	12.0792	0		0402_100K_1%	R0402
R1985	-59.2328	11.1648	0		0402_100K_1%	R0402
R2001	-52.1970	11.5712	90		0402_1M	R0402
R2002	-62.7380	11.0632	270		0402_1M	R0402
R2101	-63.1190	3.6972	180		0402_20K_1%	R0402
R2183	-22.8600	10.4282	90		0402_4.7K_1%	R0402
R2184	-33.9090	12.4602	90		0402_4.7K_1%	R0402
R2185	-34.0360	10.3012	180		0402_4.7K_1%	R0402
R2187	-34.0360	4.0782	180		0402_4.7K_1%	R0402
R2218	-21.3360	5.8562	270		0402_4.7K_1%	R0402
R2219	-21.3360	7.5072	90		0402_4.7K_1%	R0402
R2229	-199.3814	-39.1573	45		0201_10K_1%	R0201
R26	-206.4220	-44.1863	135		0402_1M	R0402
R29	-207.4338	-41.1739	0		0402_680_1%	R0402
R31	-199.8663	-44.9227	225		0201_10K_1%	R0201
R316	-210.0326	-146.5438	0		0402_330_1%	R0402
R317	-5.0800	-157.5928	180		0603_10_1%	R0603
R318	-210.0580	-144.6388	0		0402_330_1%	R0402
R32	-198.8246	-37.4870	225		0201_10K_1%	R0201
R35	-199.9381	-38.6006	45		0201_10K_1%	R0201
R36	-200.3153	-44.4736	45		0201_47K	R0201
R4	-186.0550	-120.2548	90		0201_33	R0201
R41	-198.2678	-38.0438	225		0201_10K_1%	R0201
R545	-186.8678	-7.5296	90		0402_10K_1%	R0402
R7	-186.6900	-120.2548	90		0201_33	R0201
R703	-208.4324	-151.6238	0		0402_10K_1%	R0402
R704	-210.1088	-151.5984	0		0402_1K_1%	R0402
R707	-186.0296	-7.5296	90		0402_1K_1%	R0402
R9	-198.7887	-39.7500	45		0201_10K_1%	R0201
R931	-166.8780	30.2402	270		0402_4.7K	R0402
R932	-166.8780	28.5892	90		0402_4.7K	R0402
R938	-181.0004	18.5689	0		0402_200K_1%	R0402
R942	-187.4774	14.8478	270		0402_22	R0402
R943	-210.5406	20.2580	180		0402_4.7K	R0402
R944	-212.1662	20.2580	0		0402_4.7K	R0402
R946	-208.6864	14.7462	180		0402_10K_1%	R0402
R947	-206.9084	6.1102	0		0201_0.1uF_16V_X5R_10%	C0201
R948	-207.9244	6.1102	180		0201_0.1uF_16V_X5R_10%	C0201
R949	-210.8200	19.5214	0		0201_0.1uF_16V_X5R_10%	C0201
R950	-211.8614	19.5214	180		0201_0.1uF_16V_X5R_10%	C0201
RA890	-182.2831	19.0134	270		0402_100K_1%	R0402
RA891	-181.8386	21.1470	0		0402_0	R0402
RA893	-190.8556	27.9542	0		0402_0	R0402
RA894	-192.5574	28.2590	270		0402_100K_1%	R0402
RA897	-190.8556	28.7924	0		0402_100K_1%	R0402
RA898	-196.0372	22.1884	90		0402_200K_1%	R0402
RA900	-194.7164	22.1884	90		0402_100K_1%	R0402
RA904	-193.3956	28.2590	270		0402_200K_1%	R0402
RA906	-188.7220	31.0276	0		0603_1	R0603
RA951	-209.0674	7.5707	90		0402_100K_1%	R0402
RA952	-208.6864	13.4000	0		0402_200K_1%	R0402
RD21	-80.1370	8.7772	90		0402_470_1%	R0402
RD216	-18.5166	24.9062	180		0402_20K_1%	R0402
RD217	-52.7050	13.9842	0		0402_1M	R0402
RD218	-52.8320	17.1592	0		0402_20K_1%	R0402
RD22	-78.8670	8.7772	90		0402_470_1%	R0402
RD23	-73.2790	8.7772	90		0402_470_1%	R0402
RD24	-72.0090	8.7772	90		0402_470_1%	R0402
RD25	-77.8510	8.7772	90		0402_470_1%	R0402
RD26	-76.5810	8.7772	90		0402_470_1%	R0402
RD260	-56.3880	9.0312	0		0402_1M	R0402
RD261	-43.8150	6.7452	180		0402_1M	R0402
RD27	-75.5650	8.7772	90		0402_470_1%	R0402
RD28	-74.2950	8.7772	90		0402_470_1%	R0402
RD7	-82.1690	6.7452	90		0402_2.2K_1%	R0402
RF1	-3.2546	-157.3222	90		0402_10K_1%	R0402
RF10	-66.6750	-147.8138	90		0402_4.7K	R0402
RF11	-67.5640	-147.8138	270		0402_33	R0402
RF16	-213.7410	-158.1008	90		0402_33	R0402
RF2	2.0320	-157.3388	90		0402_4.7K	R0402
RF4	-211.9156	-158.0842	90		0402_4.7K	R0402
RF43	-210.0580	-145.5278	180		0402_10K_1%	R0402
RF44	-205.9940	-152.5128	90		0402_10K_1%	R0402
RF45	-204.9780	-152.5128	90		0402_10K_1%	R0402
RF5	-212.0900	-160.0058	0		0402_33	R0402
RF54	-196.4182	-139.0254	90		0201_47_1%	R0201
RF55	-197.2310	-139.0000	90		0201_47_1%	R0201
RF56	-208.7880	-141.2098	180		0201_47_1%	R0201
RF57	-195.9356	-138.0602	180		0402_4.7K_1%	R0402
RF58	-195.8086	-136.1552	270		0201_47_1%	R0201
RF59	-197.2310	-136.6378	270		0201_47_1%	R0201
RF6	-210.0580	-158.0754	90		0402_4.7K	R0402
RF60	-209.9310	-140.4478	0		0201_47_1%	R0201
RH17	-124.0790	-49.1348	180		0402_0	R0402
RH22	-117.7290	-58.1518	0		0402_100_1%	R0402
RH256	-83.7184	-40.6766	270		0402_10K_1%	R0402
RH258	-76.2508	-38.0096	90		0402_1K_1%	R0402
RH261	-75.3110	-37.9588	90		0402_499_1%	R0402
RH262	-133.6040	-60.1330	180		0402_20_1%	R0402
RH263	-117.0940	-52.5638	0		0402_62_1%	R0402
RH264	-84.9630	-69.2008	180		0402_49.9_1%	R0402
RH265	-73.0250	-37.9588	270		0402_56.2_1%	R0402
RH266	-73.5330	-40.4988	270		0402_0	R0402
RH267	-71.7550	-40.4988	270		0402_0	R0402
RH268	-72.6440	-40.4988	270		0402_220_1%	R0402
RH271	-117.7290	-54.8498	180		0402_51_1%	R0402
RH272	-199.2630	-156.7038	0		0402_10K_1%	R0402
RH273	-118.3640	-52.6908	270		0402_1K_1%	R0402
RH3	-131.0640	-59.2948	0		0402_22_1%	R0402
RH56	-196.5960	-156.4498	90		0402_100K_1%	R0402
RH58	-71.7550	-37.9588	270		0402_100_1%	R0402
RL10	-155.9814	7.5072	0		0201_2.2_1%	R0201
RL11	-155.9814	8.1422	0		0201_2.2_1%	R0201
RL12	-155.9814	9.4122	0		0201_2.2_1%	R0201
RL13	-155.9814	10.0472	0		0201_2.2_1%	R0201
RL14	-155.9814	10.6822	0		0201_2.2_1%	R0201
RL15	-155.9814	11.3172	0		0201_2.2_1%	R0201
RL23	-129.6416	1.3350	0		0805_75	R0805
RL26	-117.3734	5.8308	180		0402_330_1%	R0402
RL27	-115.6970	5.8308	0		0402_330_1%	R0402
RL4	-157.4546	6.0086	270		0402_2.49K_1%	R0402
RL5	-161.4932	6.2626	90		0201_1K_1%	R0201
RL6	-164.9984	9.9456	0		0201_1K_1%	R0201
RL67	-155.9814	13.2476	0		0201_2.2_1%	R0201
RL68	-155.9814	13.8826	0		0201_2.2_1%	R0201
RL7	-163.5252	10.0472	0		0201_20K	R0201
RM1	-96.6306	-133.6923	180		0402_470_1%	R0402
RM12	-14.8539	-142.1505	180		0402_23.2K_1%	R0402
RM2	-100.0760	-142.4798	180		0402_0	R0402
RM5	-15.0134	-132.8033	180		0402_10K_1%	R0402
RM6	-14.3510	-124.3188	270		0201_0	R0201
RM7	-13.5890	-124.3188	270		0201_0	R0201
RN502	-3.8354	6.9865	0		0402_8P4R_2.2K	R8P4R_0402
RN510	-3.8354	9.2725	0		0402_8P4R_33	R8P4R_0402
RND7	-48.2346	14.5049	180		0402_8P4R_2.2K	R8P4R_0402
RND9	-31.8516	23.6489	180		0402_8P4R_2.2K	R8P4R_0402
RO427	-59.8170	3.6972	180		0402_10K_1%	R0402
RO428	-59.8170	4.5862	0		0402_10K_1%	R0402
RO461	-198.5010	-3.9228	180		0402_1K_1%	R0402
RO468	-183.3372	-3.3894	90		0402_1K_1%	R0402
RP1054	-63.1190	4.5862	0		0402_15K_1%	R0402
RP1057	-14.6050	-152.7668	90		0402_100K_1%	R0402
RP1092	-189.2554	-144.3086	0		0603_1	R0603
RP1097	-130.9370	-82.9168	180		0402_20K_1%	R0402
RP1098	-169.9260	-158.8628	180		0402_82K_1%	R0402
RP1099	-173.6090	-158.4818	0		0201_20K	R0201
RP1144	-33.2740	-153.1478	90		0603_1	R0603
RP1150	-207.7695	-120.3793	90		0402_0	R0402
RP1151	-201.5490	-122.1598	90		0402_49.9K_1%	R0402
RP1152	-200.6600	-122.1598	90		0402_39K_1%	R0402
RP1154	-202.4380	-118.4768	270		0402_100K_1%	R0402
RP1155	-202.9460	-122.9218	0		0402_33K_1%	R0402
RP1159	-132.2070	-84.9488	0		0402_0	R0402
RP1165	-180.7210	-37.7556	0		0402_0	R0402
RP1178	-193.2686	-138.4666	90		0402_0	R0402
RP118	-20.1422	-37.0952	90		0402_0	R0402
RP1192	-205.2320	-122.4138	90		0402_0	R0402
RP1194	-185.8518	-37.6540	180		0402_0	R0402
RP121	-21.0312	-37.0952	90		0402_0	R0402
RP1254	-133.9850	-87.4888	0		0402_10K_1%	R0402
RP1255	-136.0170	-86.0918	180		0402_10K_1%	R0402
RP1258	-5.0825	-155.3094	270		0402_100K_1%	R0402
RP1266	-15.0622	-41.9212	0		0402_1K_1%	R0402
RP1345	-126.3650	-93.4324	0		0402_0	R0402
RP1347	-171.5770	-159.7518	0		0402_10_1%	R0402
RP1348	-171.5770	-158.8628	0		0402_56K_1%	R0402
RP1349	-96.2660	-144.2578	0		0402_1K_1%	R0402
RP1363	-175.6410	-153.6050	180		0402_10_1%	R0402
RP14	-189.6110	-140.9558	270		0402_16K_1%	R0402
RP1449	-110.9980	-17.1308	270		0402_2M_1%	R0402
RP1453	-102.9970	-21.3218	180		0402_10K_1%	R0402
RP1454	-100.8380	-21.3218	0		0402_10K_1%	R0402
RP1460	-110.7440	-21.5758	180		0402_1.6K_1%	R0402
RP1463	-108.3310	-17.1308	90		0402_10K_1%	R0402
RP1468	-112.1410	-21.9568	90		0402_100_1%	R0402
RP1469	-112.1410	-23.7348	90		0402_100_1%	R0402
RP1470	-107.4420	-17.1308	90		0402_49.9K_1%	R0402
RP1471	-107.5690	-27.4178	90		0402_0	R0402
RP1474	-110.7440	-20.4328	0		0402_1.5K_1%	R0402
RP1578	-29.1084	-5.5738	0		0603_2.2	R0603
RP1589	-38.8620	-14.4638	180		0805_2.2	R0805
RP1590	-56.4896	-14.7686	180		0805_2.2	R0805
RP1592	-74.1680	-14.5908	180		0805_2.2	R0805
RP1594	-14.0462	-66.7370	90		0805_2.2	R0805
RP1596	-14.2240	-49.0078	90		0805_2.2	R0805
RP1600	-14.0208	-84.2122	90		0805_2.2	R0805
RP1602	-96.5200	-15.4798	180		0805_2.2	R0805
RP1604	-47.3202	-5.6754	0		0603_2.2	R0603
RP1605	-64.9732	-5.5484	0		0603_2.2	R0603
RP1606	-5.4610	-75.9318	270		0603_2.2	R0603
RP1607	-5.4610	-58.2788	270		0603_2.2_1%	R0603
RP1609	-5.4610	-93.4578	270		0603_2.2	R0603
RP1610	-87.9348	-6.5136	0		0603_2.2_1%	R0603
RP1612	-96.2660	-147.0518	0		0402_10_1%	R0402
RP1613	-25.4762	-26.5542	180		0402_0	R0402
RP1616	-172.5930	9.1582	180		0402_40.2K_1%	R0402
RP1617	-172.7200	10.8092	0		0201_20K	R0201
RP1618	-171.3230	10.8092	180		0402_13K_1%	R0402
RP1625	-175.9712	9.9456	180		0402_10_1%	R0402
RP1626	-96.3930	-147.8138	0		0201_10K_1%	R0201
RP163	-11.2522	-43.3182	180		0402_1K_1%	R0402
RP165	-5.0292	-42.0482	0		0402_10K_1%	R0402
RP166	-5.0292	-42.9372	180		0402_10K_1%	R0402
RP19	-118.1100	-90.1558	0		0402_499_1%	R0402
RP20	-117.2210	-88.8858	0		0402_620_1%	R0402
RP282	-8.8392	-31.7612	180		0603_4.7_1%	R0603
RP283	-10.9982	-26.8082	270		0402_2M_1%	R0402
RP288	-25.4762	-34.8092	0		0402_100_1%	R0402
RP291	-25.4762	-33.9202	0		0402_45.3_1%	R0402
RP292	-16.8402	-37.0952	270		0402_100K_1%	R0402
RP294	-10.9982	-28.4592	90		0402_10K_1%	R0402
RP297	-22.5552	-27.4432	180		0402_3.16K_1%	R0402
RP299	-19.6342	-25.0302	270		0402_866_1%	R0402
RP306	-11.1252	-29.9832	0		0402_49.9K_1%	R0402
RP316	-25.4762	-29.3482	180		0402_105K_1%	R0402
RP317	-25.4762	-27.4432	180		0402_27.4K_1%	R0402
RP318	-22.4282	-30.6182	180		0402_1.5K_1%	R0402
RP322	-25.4762	-31.1262	0		0402_182K_1%	R0402
RP323	-20.6502	-25.0302	270		0402_100_1%	R0402
RP324	-22.5552	-26.5542	180		0402_100_1%	R0402
RP325	-23.3172	-28.4592	0		0402_100_1%	R0402
RP326	-23.3172	-29.7292	180		0402_100_1%	R0402
RP50	-169.9260	-159.7518	0		0402_40.2K_1%	R0402
RP530	-23.1902	-33.9202	180		0402_49.9_1%	R0402
RP531	-23.1902	-34.8092	180		0402_10_1%	R0402
RP532	-23.1902	-35.6982	180		0402_0	R0402
RP546	-19.2532	-37.0952	90		0402_10K_1%	R0402
RP55	-127.5080	-78.7258	0		0402_10_1%	R0402
RP551	-17.9832	-25.0302	90		0402_1.5K_1%	R0402
RP552	-16.9672	-25.0302	90		0402_1.5K_1%	R0402
RP553	-15.9512	-25.0302	90		0402_1.5K_1%	R0402
RP554	-14.9352	-25.0302	90		0402_1.5K_1%	R0402
RP555	-13.9192	-25.0302	90		0402_1.5K_1%	R0402
RP578	-130.9370	-82.0278	0		0402_4.3K_1%	R0402
RP583	-131.9530	-81.1388	0		0201_13.7K_1%	R0201
RP601	-184.2140	-138.7153	180		0603_2.2	R0603
RP602	-196.8754	-148.6774	180		0402_27K_1%	R0402
RP604	-196.8754	-147.6614	180		0402_2.67K_1%	R0402
RP606	-196.8754	-145.8834	0		0402_1K_1%	R0402
RP608	-191.0588	-151.6746	180		0603_2.2	R0603
RP609	-185.9280	-147.3058	90		0603_2.2	R0603
RP611	-191.5160	-144.2578	180		0402_27K_1%	R0402
RP613	-187.1980	-146.8232	270		0402_0	R0402
RP699	-184.1500	-145.6548	0		0402_10K_1%	R0402
RP701	-38.8620	-148.8298	270		0603_2.2	R0603
RP702	-21.0820	-151.8778	90		0402_27K_1%	R0402
RP704	-20.5486	-154.5448	180		0402_1.18K_1%	R0402
RP706	-19.3040	-151.8778	90		0402_1K_1%	R0402
RP707	-17.3990	-156.1958	270		0603_1	R0603
RP708	-27.6606	-151.1669	0		0603_2.2	R0603
RP709	-31.6230	-149.4648	90		0603_2.2	R0603
RP711	-32.2605	-156.5743	180		0402_27K_1%	R0402
RP713	-32.2555	-155.4364	0		0402_0	R0402
RP816	-65.2780	-146.9249	270		TLC_PSMD110	R0805
RP917	-187.9600	-136.5108	180		0402_10K_1%	R0402
RP918	-191.8462	-141.4384	0		0402_10K_1%	R0402
RP922	-190.1190	-143.0894	180		0402_40.2K_1%	R0402
RP929	-190.1190	-142.2258	180		0402_13K_1%	R0402
RP964	-70.8660	-144.7658	180		0402_1K_1%	R0402
RQ105	-4.1910	-106.0308	180		0402_22K	R0402
RQ106	-1.7780	-106.0308	0		0402_4.7K	R0402
RQ107	-1.7780	-105.0148	0		0402_27K_1%	R0402
RQ111	-4.1910	-105.0148	0		0402_4.7K	R0402
RQ222	-1.7780	-103.9988	0		0402_100_1%	R0402
RQ223	-141.7320	-20.5598	0		0402_100_1%	R0402
RQ224	-141.7320	-19.6708	180		0402_4.7K	R0402
RQ225	-1.6510	-114.5398	0		0402_100_1%	R0402
RQ229	-3.4290	-114.5398	0		0402_4.7K	R0402
RQ231	-1.6510	-116.5718	0		0402_4.7K	R0402
RQ94	-143.0020	-17.5880	270		0402_22K	R0402
RQ98	-141.7320	-16.2418	0		0402_4.7K	R0402
RQ99	-141.7320	-17.1308	0		0402_27K_1%	R0402
RS11	-197.6120	-78.5988	270		0402_1K_1%	R0402
RS119	-173.9392	-37.5016	180		0402_10K_1%	R0402
RS126	-172.9266	-78.2012	90		0402_1K_1%	R0402
RS14	-162.3568	-14.9210	180		0402_10K_1%	R0402
RS145	-211.3280	1.0302	270		0402_4.7K_1%	R0402
RS15	-197.8660	-88.3778	270		0201_33	R0201
RS151	-184.1500	-121.7788	0		0402_1K_1%	R0402
RS152	-182.4990	-121.7788	180		0402_1K_1%	R0402
RS16	-197.1040	-89.7748	270		0201_33	R0201
RS168	-135.6360	-52.0558	270		0402_0	R0402
RS17	-197.1040	-88.3778	270		0201_33	R0201
RS170	-136.5250	-60.0568	180		0402_0	R0402
RS179	-193.8020	-79.1201	180		0402_49.9K_1%	R0402
RS18	-197.8660	-89.7748	270		0201_33	R0201
RS180	-193.8020	-78.2311	180		0402_49.9K_1%	R0402
RS183	-166.2430	9.1582	180		0402_10K_1%	R0402
RS190	-198.8820	-123.1758	0		0402_10K_1%	R0402
RS191	-198.8820	-122.2868	0		0402_10K_1%	R0402
RS20	-193.8020	-76.5668	90		0402_0	R0402
RS22	-201.9912	-157.1958	270		0402_1K_1%	R0402
RS242	-62.8650	8.7772	90		0402_2.2K_1%	R0402
RS243	-61.4680	4.5862	0		0402_4.7K_1%	R0402
RS278	-179.5526	-73.6458	270		0201_33	R0201
RS279	-179.1970	-76.0614	270		0201_33	R0201
RS280	-179.9590	-76.0588	270		0201_33	R0201
RS281	-180.3400	-73.6458	270		0201_33	R0201
RS384	-181.9910	-76.1858	270		0402_4.7K_1%	R0402
RS385	-169.3384	-77.3455	90		0402_20K_1%	R0402
RS389	-209.9310	-141.2098	180		0201_20K	R0201
RS400	-25.1460	25.1602	0		0402_1M	R0402
RS415	-138.1760	-60.0822	0		0402_20K_1%	R0402
RS422	-180.4670	-0.4938	0		0402_33	R0402
RS440	-166.2455	-89.7723	180		0402_200_1%	R0402
RS450	-175.4124	-37.1460	270		0402_51_1%	R0402
RS451	-177.9270	-37.1968	270		0402_51_1%	R0402
RS473	-176.2760	-81.9008	270		0402_0	R0402
RS488	-197.1294	-111.9744	180		0402_100K_1%	R0402
RS492	-198.8820	-116.9528	180		0402_49.9K_1%	R0402
RS496	-182.3720	-74.9158	180		0402_2.2K_1%	R0402
RS499	-182.3720	-74.0268	180		0402_2.2K_1%	R0402
RS504	-184.1500	-120.5088	180		0402_1K_1%	R0402
RS505	-184.1500	-119.6198	180		0402_1K_1%	R0402
RS506	-198.8820	-118.7308	0		0402_10K_1%	R0402
RS508	-198.8820	-117.8418	0		0402_10K_1%	R0402
RS510	-187.0710	-157.4658	270		0402_100K_1%	R0402
RS511	-191.6430	-159.6248	90		0402_100K_1%	R0402
RS512	-178.8160	-123.5568	90		0402_10K_1%	R0402
RS513	-180.3400	-122.5408	270		0402_0	R0402
RS514	-177.0380	-123.5568	270		0402_0	R0402
RS515	-182.1180	-120.0008	90		0402_10K_1%	R0402
RS516	-177.0380	-118.4768	90		0402_10K_1%	R0402
RS521	-198.8820	-120.5088	0		0402_10K_1%	R0402
RS523	-188.5950	-123.3028	0		0402_10K_1%	R0402
RS524	-173.2280	-118.4768	90		0402_10K_1%	R0402
RS525	-172.2120	-118.4768	90		0402_10K_1%	R0402
RS526	-169.4180	-118.4768	90		0402_10K_1%	R0402
RS527	-172.2120	-120.5088	270		0402_10K_1%	R0402
RS528	-170.3070	-118.4768	90		0402_10K_1%	R0402
RS529	-175.5140	-118.4768	90		0402_10K_1%	R0402
RS530	-198.8820	-121.3978	0		0402_10K_1%	R0402
RS533	-181.0766	-73.3664	270		0402_10K_1%	R0402
RS541	-175.2092	-120.7628	90		0402_10K_1%	R0402
RS562	-171.3704	-77.3455	90		0402_33	R0402
RS563	-173.7834	-82.2985	270		0402_33	R0402
RS564	-185.2930	-79.9958	270		0402_24.9_1%	R0402
RS565	-184.6580	-81.6468	270		0402_24.9_1%	R0402
RS566	-174.0374	-80.5205	90		0402_620_1%	R0402
RS567	-198.8820	-116.0638	180		0402_200_1%	R0402
RS569	-170.3544	-77.3455	270		0402_1K_1%	R0402
RS576	-123.5710	-76.8208	0		0402_0	R0402
RS579	-166.2430	8.2692	0		0402_4.7K_1%	R0402
RS592	-166.2455	-88.8833	180		0402_200_1%	R0402
RS599	-184.5310	-117.7148	270		0402_75K_1%	R0402
RS604	-184.1500	-79.2338	270		0402_100K_1%	R0402
RS605	-183.7690	-81.6468	90		0402_100K_1%	R0402
RS608	-197.7136	-138.0602	180		0402_100K_1%	R0402
RS609	-192.0240	-78.7258	90		0402_100K_1%	R0402
RS612	-177.9270	-123.5568	90		0402_100K_1%	R0402
RS613	-177.0380	-120.6358	270		0402_75K_1%	R0402
RS617	-196.0880	-86.8538	90		0402_100K_1%	R0402
RS618	-196.5960	-85.5838	180		0402_100K_1%	R0402
RS623	-188.5950	-121.5248	0		0402_10K_1%	R0402
RS624	-188.5950	-120.5088	180		0402_200K_1%	R0402
RS625	-188.5950	-122.4138	180		0402_200K_1%	R0402
RS635	-196.5960	-84.6948	180		0402_200_1%	R0402
RS636	-194.1830	-84.8218	270		0402_200_1%	R0402
RS64	-185.6486	-71.7662	270		0402_30.1K_1%	R0402
RS65	-186.5376	-71.7662	270		0402_30.1K_1%	R0402
RS651	-173.2280	-120.5088	90		0402_2.2K_1%	R0402
RS654	-181.2290	-120.0008	270		0402_4.7K_1%	R0402
RS666	-191.8970	-75.5508	90		0402_4.7K_1%	R0402
RS670	-180.0860	-120.0008	270		0402_4.7K_1%	R0402
RS673	-199.2630	-137.5268	180		0201_100K	R0201
RS674	-177.1650	-79.4878	90		0402_1K_1%	R0402
RS680	-205.9940	-139.1778	90		0201_20K	R0201
RS681	-204.7240	-139.1778	270		0201_47_1%	R0201
RS682	-197.9422	-139.0254	90		0201_47_1%	R0201
RS686	-57.1500	4.3322	270		0402_2.2K_1%	R0402
RS687	-55.7530	4.3322	270		0402_2.2K_1%	R0402
RS727	-182.1180	-78.7258	90		0402_100K_1%	R0402
RS728	-204.3534	-157.1704	270		0402_1K_1%	R0402
RS729	-206.7664	-157.1704	270		0402_1K_1%	R0402
RS730	-208.6356	-157.6690	180		0402_1K_1%	R0402
RS732	-207.3910	-138.9238	90		0402_0	R0402
RS734	-210.3120	-138.0348	0		0402_0	R0402
RS735	-183.1340	-37.1968	270		0402_10K_1%	R0402
RS736	-184.5310	-37.1968	270		0402_10K_1%	R0402
RS737	-203.9620	-139.1778	90		0201_47_1%	R0201
RS738	-200.4060	-138.2888	180		0201_47_1%	R0201
RS739	-210.3120	-138.9238	0		0402_0	R0402
RS741	-210.1850	-143.3688	0		0402_0	R0402
RS747	-178.4516	-81.9008	270		0402_10K_1%	R0402
RS748	-211.5312	-5.1674	270		0402_4.7K_1%	R0402
RS84	-184.7850	-71.7408	90		0402_1M	R0402
RS9	-187.7060	-81.5198	180		0402_20M	R0402
RS91	-178.4350	8.9042	180		0402_10K_1%	R0402
RS99	-198.8820	-119.6198	0		0402_10K_1%	R0402
RS992	-93.7006	-143.6228	270		0201_0	R0201
RT28	-174.0916	9.6916	90		0201_20K	R0201
RU170	-155.1940	-149.3378	180		0201_220K_1%	R0201
RU171	-154.1780	-149.3378	0		0201_220K_1%	R0201
RU172	-149.4790	-147.3058	180		0402_0	R0402
RU179	-157.2260	-143.1148	180		0402_1K_1%	R0402
RU188	-150.3680	-141.8448	90		0402_1K_1%	R0402
RU314	-85.0646	20.3596	180		0201_0	R0201
RU315	-85.0646	19.6992	0		0201_0	R0201
RU316	-82.6770	19.6992	180		0201_0	R0201
RU317	-82.6770	20.3342	0		0201_0	R0201
RU318	-81.6864	19.8516	90		0402_12.1K_1%	R0402
RU319	-86.4870	19.4452	180		0402_2.2K_1%	R0402
RU320	-87.8586	20.7660	180		0201_0	R0201
RU322	-82.4992	12.9174	270		0402_2.2K_1%	R0402
RU323	-83.5914	11.7744	180		0201_0	R0201
RU325	-83.6930	12.9174	270		0402_2.2K_1%	R0402
RU326	-85.5726	12.2570	270		0201_0	R0201
RU328	-80.6450	12.9682	90		0402_10K_1%	R0402
RU330	-79.9592	19.8516	270		0402_10K_1%	R0402
RU332	-86.3346	13.0444	90		0402_0	R0402
RU339	-95.5802	7.2278	180		0402_1K_1%	R0402
RU340	-88.7984	8.3962	270		0402_1K_1%	R0402
RU349	-88.6460	12.4602	270		0201_220K_1%	R0201
RU350	-88.6460	13.8572	90		0201_220K_1%	R0201
RU351	-97.1550	12.2824	270		0402_0	R0402
RU352	-92.3290	24.8046	180		0201_0	R0201
