|------------------------------------------------------------------------------------------------------------------------------------
|                                COMPONENT  CENTER  REPORT
|------------------------------------------------------------------------------------------------------------------------------------
|             |                              |                              |                              |        MM         |   | 
|             |                              |                              |                              |-------------------|   | 
|   refdes    |         device type          |      value & tolerance       |        package symbol        |    x    |    y    |ang|m
|------------------------------------------------------------------------------------------------------------------------------------
C17            C_C0402_DISCRETE_0.22UF/6.3V   0.22UF/6.3V                    C0402                            202.169   178.603 0   N
C18            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            124.714   201.548 0   N
C19            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                             90.627    84.844 270 N
C20            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            124.714   203.352 0   N
C21            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                             92.456    84.844 270 N
C22            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            124.714   205.130 0   N
C23            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                             94.234    84.844 270 N
C24            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            124.714   206.959 0   N
C25            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                             96.012    84.844 270 N
C26            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            124.511   213.030 0   N
C27            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                             97.913    84.836 270 N
C28            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            124.511   214.859 0   N
C29            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            104.572    84.836 270 N
C30            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            124.435   216.637 0   N
C31            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            106.375    84.836 270 N
C32            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            124.435   218.440 0   N
C33            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            108.153    84.836 270 N
C34            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            124.511   225.501 0   N
C35            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            109.982    84.836 270 N
C36            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            124.511   227.279 0   N
C37            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            111.760    84.836 270 N
C38            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            124.511   229.083 0   N
C39            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            114.046    84.836 270 N
C40            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            124.511   230.861 0   N
C41            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            115.824    84.836 270 N
C42            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            124.511   232.689 0   N
C43            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            117.602    84.836 270 N
C44            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            124.511   234.493 0   N
C45            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            119.380    84.836 270 N
C46            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            124.511   236.286 0   N
C47            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            124.790    84.836 270 N
C48            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            124.511   238.056 0   N
C49            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            126.568    84.836 270 N
C50            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            124.714   200.837 0   N
C51            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                             91.389    84.844 270 N
C52            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            124.714   202.641 0   N
C53            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                             93.218    84.844 270 N
C54            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            124.714   204.419 0   N
C55            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                             94.996    84.844 270 N
C56            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            124.714   206.248 0   N
C57            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                             96.774    84.844 270 N
C58            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            124.511   212.319 0   N
C59            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                             98.675    84.836 270 N
C60            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            124.511   214.147 0   N
C61            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            105.334    84.836 270 N
C62            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            124.435   215.925 0   N
C63            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            107.137    84.836 270 N
C64            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            124.435   217.729 0   N
C65            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            108.915    84.836 270 N
C66            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            124.511   224.790 0   N
C67            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            110.744    84.836 270 N
C68            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            124.511   226.568 0   N
C69            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            112.522    84.836 270 N
C70            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            124.511   228.371 0   N
C71            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            114.808    84.836 270 N
C72            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            124.511   230.149 0   N
C73            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            116.586    84.836 270 N
C74            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            124.511   231.978 0   N
C75            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            118.364    84.836 270 N
C76            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            124.511   233.782 0   N
C77            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            120.142    84.836 270 N
C78            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            124.511   235.560 0   N
C79            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            125.552    84.836 270 N
C80            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            124.511   237.345 0   N
C81            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            127.330    84.836 270 N
C82            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.248    42.518 180 N
C83            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.248    45.058 180 N
C84            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            144.994    84.836 270 N
C85            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.375    51.535 180 N
C86            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            139.167    84.836 270 N
C87            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.375    54.075 180 N
C88            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            137.363    84.836 270 N
C89            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.375    55.091 180 N
C90            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            135.585    84.836 270 N
C91            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.350    57.572 180 N
C92            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            133.782    84.836 270 N
C93            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.350    63.597 180 N
C94            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            131.978    84.836 270 N
C95            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.350    66.137 180 N
C96            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            130.175    84.836 270 N
C97            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.248   132.518 180 N
C98            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            128.393    84.836 270 N
C99            C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.248   134.296 180 N
C100           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.375   141.535 180 N
C101           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.375   144.075 180 N
C102           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.375   145.091 180 N
C103           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            145.756    84.836 270 N
C104           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.350   147.572 180 N
C105           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            139.929    84.836 270 N
C106           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.350   154.359 180 N
C107           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            138.125    84.836 270 N
C108           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.350   156.137 180 N
C109           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            136.347    84.836 270 N
C110           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            134.544    84.836 270 N
C111           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.248    43.280 180 N
C112           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            132.740    84.836 270 N
C113           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.248    44.296 180 N
C114           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            130.937    84.836 270 N
C115           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.375    52.297 180 N
C116           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            129.155    84.836 270 N
C117           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.375    53.313 180 N
C118           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.375    55.853 180 N
C119           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.350    56.810 180 N
C120           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.350    64.359 180 N
C121           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.350    65.375 180 N
C122           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.248   133.280 180 N
C123           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.248   135.058 180 N
C124           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.375   142.297 180 N
C125           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.375   143.313 180 N
C126           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.375   145.853 180 N
C127           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.350   146.810 180 N
C128           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.350   153.597 180 N
C129           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.350   155.375 180 N
C130           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            243.653    86.741 90  N
C131           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            246.955    86.741 90  N
C132           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            243.653    87.249 270 N
C133           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            250.257    86.741 90  N
C134           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            246.955    87.249 270 N
C135           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            253.559    86.741 90  N
C136           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            250.257    87.249 270 N
C137           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            255.464    86.741 90  N
C138           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            253.559    87.249 270 N
C139           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            258.766    86.741 90  N
C140           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            255.464    87.249 270 N
C141           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            263.465    86.741 90  N
C142           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            258.766    87.249 270 N
C143           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            265.370    86.741 90  N
C144           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            263.465    87.249 270 N
C145           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            265.370    87.249 270 N
C146           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            242.256    86.741 90  N
C147           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            245.558    86.741 90  N
C148           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            242.256    87.249 270 N
C149           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            248.860    86.741 90  N
C150           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            245.558    87.249 270 N
C151           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            252.162    86.741 90  N
C152           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            248.860    87.249 270 N
C153           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            256.861    86.741 90  N
C154           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            252.162    87.249 270 N
C155           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            260.163    86.741 90  N
C156           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            256.861    87.249 270 N
C157           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            262.068    86.741 90  N
C158           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            260.163    87.249 270 N
C159           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            266.767    86.741 90  N
C160           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            262.068    87.249 270 N
C161           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            266.767    87.249 270 N
C162           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            238.918    97.011 90  N
C163           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            243.617    97.011 90  N
C164           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            246.919    97.011 90  N
C165           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            248.824    97.011 90  N
C166           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            252.126    97.011 90  N
C167           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            255.428    97.011 90  N
C168           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            258.730    97.011 90  N
C169           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            262.032    97.011 90  N
C170           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            240.315    97.011 90  N
C171           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            242.220    97.011 90  N
C172           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            245.522    97.011 90  N
C173           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            250.221    97.011 90  N
C174           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            253.523    97.011 90  N
C175           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            256.825    97.011 90  N
C176           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            260.127    97.011 90  N
C177           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            263.429    97.011 90  N
C178           C_C0402_DISCRETE_0.1UF/10V     0.1UF/10V                      C0402                            263.597    77.562 180 N
C179           C_C0402_DISCRETE_0.1UF/10V     0.1UF/10V                      C0402                            256.642   188.544 270 N
C180           C_C0402_DISCRETE_0.1UF/10V     0.1UF/10V                      C0402                            256.561   197.173 180 N
C181           C_C0402_DISCRETE_0.1UF/10V     0.1UF/10V                      C0402                            257.154    70.841 180 N
C182           C_C0402_DISCRETE_0.1UF/10V     0.1UF/10V                      C0402                            263.056    71.330 180 N
C183           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            114.080   339.598 270 N
C184           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            145.022   320.446 270 N
C185           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            115.893   339.598 270 N
C186           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            139.253   320.446 270 N
C187           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            117.671   339.598 270 N
C188           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            137.460   320.444 270 N
C189           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            119.484   339.598 270 N
C190           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            135.631   320.457 270 N
C191           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            125.324   339.598 270 N
C192           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            133.812   320.462 270 N
C193           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            127.102   339.598 270 N
C194           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            132.023   320.421 270 N
C195           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            128.905   339.598 270 N
C196           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            130.234   320.434 270 N
C197           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            130.683   339.598 270 N
C198           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            128.415   320.442 270 N
C199           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            137.973   339.598 270 N
C200           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            139.827   339.598 270 N
C201           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            145.733   320.446 270 N
C202           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            141.605   339.598 270 N
C203           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            139.964   320.446 270 N
C204           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            143.383   339.598 270 N
C205           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            138.171   320.444 270 N
C206           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            145.178   339.598 270 N
C207           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            136.342   320.457 270 N
C208           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            146.964   339.598 270 N
C209           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            134.523   320.462 270 N
C210           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            148.793   339.598 270 N
C211           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            132.735   320.421 270 N
C212           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            150.881   339.577 270 N
C213           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            130.945   320.434 270 N
C214           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            129.126   320.442 270 N
C215           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            114.842   339.598 270 N
C216           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            116.655   339.598 270 N
C217           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            118.433   339.598 270 N
C218           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            120.246   339.598 270 N
C219           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            126.086   339.598 270 N
C220           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            127.864   339.598 270 N
C221           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            129.667   339.598 270 N
C222           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            131.445   339.598 270 N
C223           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            138.735   339.598 270 N
C224           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            140.589   339.598 270 N
C225           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            142.367   339.598 270 N
C226           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            144.145   339.598 270 N
C227           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            145.940   339.598 270 N
C228           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            159.461   320.472 270 N
C229           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            147.726   339.598 270 N
C230           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            157.658   320.472 270 N
C231           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            149.555   339.598 270 N
C232           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            155.861   320.472 270 N
C233           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            151.643   339.577 270 N
C234           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            154.040   320.472 270 N
C235           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            152.222   320.446 270 N
C236           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            150.444   320.446 270 N
C237           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            148.605   320.446 270 N
C238           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            146.856   320.446 270 N
C239           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            160.172   320.472 270 N
C240           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            158.369   320.472 270 N
C241           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            156.572   320.472 270 N
C242           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            154.751   320.472 270 N
C243           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            152.933   320.446 270 N
C244           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            151.155   320.446 270 N
C245           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            149.317   320.446 270 N
C246           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            147.567   320.446 270 N
C247           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                             90.708   320.442 270 N
C248           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                             92.524   320.442 270 N
C249           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.248   248.518 180 N
C250           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                             94.302   320.442 270 N
C251           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.248   251.058 180 N
C252           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                             96.103   320.442 270 N
C253           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.375   257.535 180 N
