---------------------------------------------------------------------------------------------------
                                 COMPONENT  CENTER  REPORT
---------------------------------------------------------------------------------------------------
         |                        |                  |        MIL        |        MM         |   | 
         |                        |                  |-------------------|-------------------|   | 
 refdes  |      device type       |     package      |    x    |    y    |    x    |    y    |ang|m
---------------------------------------------------------------------------------------------------
ADM       TPS3895ADRYR_AK_DFN_6P_20_57X39/TPS3895ADRYR AK_DFN_6P_20_57X39_TI   5787.85   6848.60   147.011   173.954 180 N
C31       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4188.00   3340.00   106.375    84.836 270 N
C32       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4899.00   8600.00   124.435   218.440 0   N
C33       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4258.00   3340.00   108.153    84.836 270 N
C34       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4902.00   8878.00   124.511   225.501 0   N
C35       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4330.00   3340.00   109.982    84.836 270 N
C36       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4902.00   8948.00   124.511   227.279 0   N
C37       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4400.00   3340.00   111.760    84.836 270 N
C38       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4902.00   9019.00   124.511   229.083 0   N
C39       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4490.00   3340.00   114.046    84.836 270 N
C40       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4902.00   9089.00   124.511   230.861 0   N
C41       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4560.00   3340.00   115.824    84.836 270 N
C42       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4902.00   9161.00   124.511   232.689 0   N
C43       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4630.00   3340.00   117.602    84.836 270 N
C44       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4902.00   9232.00   124.511   234.493 0   N
C45       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4700.00   3340.00   119.380    84.836 270 N
C46       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4902.00   9302.60   124.511   236.286 0   N
C47       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4913.00   3340.00   124.790    84.836 270 N
C48       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4902.00   9372.30   124.511   238.056 0   N
C49       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4983.00   3340.00   126.568    84.836 270 N
C50       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4910.00   7906.97   124.714   200.837 0   N
C51       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                3598.00   3340.30    91.389    84.844 270 N
C52       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4910.00   7978.00   124.714   202.641 0   N
C53       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                3670.00   3340.30    93.218    84.844 270 N
C54       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4910.00   8048.00   124.714   204.419 0   N
C55       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                3740.00   3340.30    94.996    84.844 270 N
C56       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4910.00   8120.00   124.714   206.248 0   N
C57       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                3810.00   3340.30    96.774    84.844 270 N
C58       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4902.00   8359.00   124.511   212.319 0   N
C59       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                3884.83   3340.00    98.675    84.836 270 N
C60       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4902.00   8431.00   124.511   214.147 0   N
C61       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4147.00   3340.00   105.334    84.836 270 N
C62       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4899.00   8501.00   124.435   215.925 0   N
C63       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4218.00   3340.00   107.137    84.836 270 N
C64       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4899.00   8572.00   124.435   217.729 0   N
C65       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4288.00   3340.00   108.915    84.836 270 N
C66       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4902.00   8850.00   124.511   224.790 0   N
C67       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4360.00   3340.00   110.744    84.836 270 N
C68       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4902.00   8920.00   124.511   226.568 0   N
C69       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4430.00   3340.00   112.522    84.836 270 N
C70       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4902.00   8991.00   124.511   228.371 0   N
C71       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4520.00   3340.00   114.808    84.836 270 N
C72       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4902.00   9061.00   124.511   230.149 0   N
C73       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4590.00   3340.00   116.586    84.836 270 N
C74       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4902.00   9133.00   124.511   231.978 0   N
C75       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4660.00   3340.00   118.364    84.836 270 N
C76       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4902.00   9204.00   124.511   233.782 0   N
C77       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4730.00   3340.00   120.142    84.836 270 N
C78       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4902.00   9274.00   124.511   235.560 0   N
C79       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4943.00   3340.00   125.552    84.836 270 N
C80       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4902.00   9344.30   124.511   237.345 0   N
C81       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                5013.00   3340.00   127.330    84.836 270 N
C82       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201               18120.00   1673.94   460.248    42.518 180 N
